Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,urlSchool,Team Code,Conference Code
West Los Angeles College,,,FALSE,Wildcats,,W LA College,W. LA College,West LA College,,,,,https://www.greatcollegedeals.net/wp-content/uploads/2018/06/west-los-angeles-college.png,,
Trinity (TX),,,FALSE,Tigers,,,,,,,,,http://livestats.prestosports.com/logos/715.png?max_width=100,,
St. Cloud St.,,,FALSE,Huskies,,St. Could St,Saint Cloud St,Saint Cloud St.,Saint Cloud State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2594.png,,
NW Oklahoma St.,,,FALSE,Rangers,,NW Oklahoma St,NW Oklahoma State,,,,,,https://upload.wikimedia.org/wikipedia/en/0/0e/NWOSU_Rangers.png,,
Langston,,,FALSE,Lions,,,,,,,,,https://cdn.herosports.com/upload/images/school-logos/langston-university-logo.png,,
Tarleton St.,,,FALSE,Texans,,Tarleton St,Tarleton State,,,,,,https://tarletonsports.com/images/logos/site/site.png,,
Mount Union,,,FALSE,Raiders,,Mount Union (OH),,,,,,,https://cdn.herosports.com/upload/school/school-logo/mount-union-logo.png,,
Coe College,,,FALSE,Kohawks,,,,,,,,,http://d21gd0ap5v1ndt.cloudfront.net/web04/coe/images_web/header-logo.png,,
Monmouth (IL),,,FALSE,Fighting Scots,,,,,,,,,https://cdn.herosports.com/upload/monmouth-il-logo.png,,
West Alabama,,,FALSE,Tigers,,W Alabama,W. Alabama,,,,,,http://logos.statbroadcast.com/weal.png,,
Butte JC (CA),,,FALSE,Roadrunners,,,,,,,,,https://pbs.twimg.com/profile_images/1321379497/fbrunner_400x400.png,,
Blinn College (TX),,,FALSE,Buccaneers,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/282366/20181011000020_16_mascotOrig.png,,
Wesley,,,FALSE,Wolverines,,Wesley College,Wesley (DE),,,,,,http://livestats.prestosports.com/logos/763.png,,
Ohio Northern,,,FALSE,Polar Bears,ONU,,,,,,,,https://cdn.herosports.com/upload/school/school-logo/ohio-northern-logo.png,,
Augustana (SD),,,FALSE,Vikings,,Augustana College,Augustana,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274093/20181010232512_124_mascotOrig.png,,
Azusa Pacific,,,FALSE,Cougars,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Azusa_Pacific_Cougars_logo.svg/1200px-Azusa_Pacific_Cougars_logo.svg.png,,
Beloit,,,FALSE,Buccaneers,,,,,,,,,https://s3.amazonaws.com/file.imleagues/Images/Schools/Uploaded/201511/2015112312515.png,,
Bowie St.,,,FALSE,Bulldogs,,Bowie St,Bowie State,,,,,,https://www.bowiestate.edu/files/resources/full-color-2.png,,
California (PA),,,FALSE,Vulcans,,,,,,,,,https://cdn.herosports.com/upload/uploads/california-pennsylvania-logo.png,,
Carson-Newman,,,FALSE,Eagles,,,,,,,,,https://bloximages.chicago2.vip.townnews.com/newportplaintalk.com/content/tncms/assets/v3/editorial/5/cd/5cd0cc4a-2f72-5cb1-8edb-b1255b607e08/5ab0cd9749d27.image.png?resize=600%2C400,,
Central Missouri St.,,,FALSE,Mules,,Central Missouri St,Central Missouri State,Central Missouri,,,,,https://www.ucmfoundation.org/image/template/footerMule.png,,
East Central (OK),,,FALSE,Tigers,,E Central (OK),,,,,,,https://ecutigers.com/images/logos/site/site.png,,
East Mississippi CC,,,FALSE,Lions,,,,,,,,,https://cdn.prestosports.com/action/cdn/logos/id/9e2c2kdcxsm0wloj.png,,
Grand Valley St.,,,FALSE,Lakers,,Grand Valley St,Grand Valley State,,,,,,https://fanapeel.com/wp-content/uploads/logo_-grand-valley-state-university-lakers-blue-gv.png,,
Hutchinson (KS),,,FALSE,Blue Dragons,,,,,,,,,http://cdnak1.psbin.com/logos/rpi/1333/wbkb.png,,
Lane,,,FALSE,Dragons,,Lane (TN),,,,,,,https://cdn.herosports.com/upload/lane-logo.png,,
Lindenwood,,,FALSE,Lions,,,,,,,,,https://lindenwoodlions.com/images/logos/site/site.png,,
Long Beach CC,,,FALSE,Vikings,,,,,,,,,https://s3-us-west-2.amazonaws.com/asset.plexuss.com/college/logos/6456_long-beach-city-college-logo.png,,
Midwestern St.,,,FALSE,Mustangs,,Midwestern St,Midwestern State,,,,,,https://neo-cdn.stretchinternet.com/yuaHoO/header/d06505b5-0b4a-451b-a652-e80b1b03ceb4.png,,
Mississippi Col.,,,FALSE,Choctaws,,,,,,,,,https://static1.squarespace.com/static/52ebf31ce4b04a9f47a446e7/t/55f0a69de4b0388802808fa9/1441834654069/,,
Missouri Western St.,,,FALSE,Griffons,,Missouri Western State,Missouri W St.,Missouri W St,Missouri Western St,Missouri Western,,,https://cdn.herosports.com/upload/school/school-logo/missouri-western-logo.png,,
Morehouse,,,FALSE,Maroon Tigers,,,,,,,,,https://cdn.herosports.com/upload/morehouse-logo.png,,
Nebraska-Omaha,,,FALSE,Mavericks,UNO,,,,,,,,https://cdn2.sportngin.com/attachments/document/0135/9674/icon_acad-clr.png,,
Northern State Univ.,,,FALSE,Wolves,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Northern_State_University_logo.png,,
NW Missouri St.,,,FALSE,Bearcats,,NW Missouri St,NW Missouri State,Northwest Missouri St,Northwest Missouri St.,Northwest Missouri State,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Northwest_Missouri_State_Bearcats_logo.svg/1200px-Northwest_Missouri_State_Bearcats_logo.svg.png,,
Pittsburg St.,,,FALSE,Gorillas,,Pittsburg State,Pittsburg St,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Pittsburg_State_Athletics_wordmark.svg/1200px-Pittsburg_State_Athletics_wordmark.svg.png,,
Regina (Canada),,,FALSE,Rams,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/291111/20181011003232_497_mascotOrig.png,,
Shippensburg,,,FALSE,Raiders,,,,,,,,,https://www.future500idcamp.com/wp-content/uploads/2017/01/Shippensburg.png,,
Southern Arkansas,,,FALSE,Muleriders,,S Arkansas,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Southern_Arkansas_Muleriders_logo.svg/1200px-Southern_Arkansas_Muleriders_logo.svg.png,,
Tiffin,,,FALSE,Dragons,,,,,,,,,https://cdn.herosports.com/upload/school/school-logo/tiffin-logo.png,,
Virginia St.,,,FALSE,Trojans,,Virginia St,Virginia State,,,,,,https://govsutrojans.com/images/logos/site/site.png,,
Virginia Union,,,FALSE,Panthers,,,,,,,,,https://s3.amazonaws.com/sidearm.sites/vuusports.com/images/logos/header_official.png,,
Walla Walla CC (WA),,,FALSE,Warriors,,,,,,,,,https://warriors.wwcc.edu/womens-basketball/wp-content/uploads/sites/2/2017/11/walla-walla.png,,
Wayne State (MI),,,FALSE,Warriors,,Wayne St. (MI),Wayne St (MI),,,,,,https://mac.wayne.edu/images/3d-warrior-w-stroke.png,,
West Georgia,,,FALSE,Wolves,,West. Georgia,W Georgia,,,,,,https://cdn.herosports.com/upload/school/school-logo/west-georgia-logo.png,,
West. Ontario,,,FALSE,Mustangs,,West Ontario,W Ontario,Western Ontario,,,,,https://communications.uwo.ca/comms/img/downloads/Mustang_CMYK.png,,
Western St. (CO),,,FALSE,Mountaineers,,Western St (CO),Western State (CO),,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Western_Colorado_Mountaineers_logo.svg/1200px-Western_Colorado_Mountaineers_logo.svg.png,,
Wisconsin–Whitewater,,,FALSE,Warhawks,UWW,Wisc-Whitewater,UW-Whitewater,,,,,,http://livestats.prestosports.com/logos/805.png,,
Rocky Mountain,,,FALSE,Battlin’ Bears,,,,,,,,,https://gobattlinbears.com/images/logos/site/site.png,,
Ark-Monticello,,,FALSE,Boil Weevils,,Arkansas-Monticello,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Arkansas%E2%80%93Monticello_Athletics_logo.png,,
Hastings,,,FALSE,Broncos,,,,,,,,,https://cdn.herosports.com/upload/images/school-logos/hastings-college-logo.png,,
Acadia (Canada),,,FALSE,Axemen,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/291155/20181011003248_397_mascot720Near.png,,
Bradley,,,FALSE,Braves,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bradley_Braves_logo.svg/1200px-Bradley_Braves_logo.svg.png,,
Menlo,,,FALSE,Oaks,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Menlo-college-symbol.png,,
West. New Mexico,,,FALSE,Mustangs,,W. New Mexico,Western New Mexico,,,,,,https://collegead.com/wp-content/uploads/2016/03/WESTERN-NEW-MEXICO-UNIVERSITY.png,,
Carroll (MT),,,FALSE,Fighting Saints,,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2104.png,,
Washburn,,,FALSE,Ichabods,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Washburn_University_Athletics_logo.png,,
Heidelberg,,,FALSE,Student Princes,,,,,,,,,https://cdn4.sportngin.com/attachments/photo/9262/9268/Heidelberg_medium.png,,
Newberry,,,FALSE,Wolves,,,,,,,,,https://www.newberry.edu/images/wolves-red-logo.png,,
Bemidji St.,,,FALSE,Beavers,,Bemidji St,Bemidji State,,,,,,https://a4.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F132.png,,
Shepherd,,,FALSE,Rams,,,,,,,,,https://www.clipartmax.com/png/small/115-1154762_shepherd-womens-soccer-data-shepherd-university-football-logo.png,,
Ouachita Baptist,,,FALSE,Tigers,,,,,,,,,https://obutigers.com/images/logos/site/site.png,,
Hillsdale,,,FALSE,Chargers,,,,,,,,,https://media.ussportscamps.com/media/images/swim/nike/logos/Hillsdale-Chargers-Logo-Horse.png,,
Wisconsin-Platteville,,,FALSE,Pioneers,UWP,Wisc-Platteville,UW-Plateville,Wisconsin–Platteville,,,,,https://cdn.herosports.com/upload/school/school-logo/uw-platteville.png,,
Wisconsin-Milwaukee,,,FALSE,Panthers,UWM,Wisc-Milwaukee,UW-Milwaukee,Wisconsin–Milwaukee,,,,,https://hoopdirt.com/wp-content/uploads/2016/03/2509967_mktg_logo.png,,
Assumption,,,FALSE,Greyhounds,,,,,,,,,https://cdn.herosports.com/upload/school/school-logo/assumption-logo.png,,
Ashland,,,FALSE,Eagles,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274088/20181230190322_469_mascotOrig.png,,
Limestone,,,FALSE,Saints,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Limestone_Saints_logo.svg/1200px-Limestone_Saints_logo.svg.png,,
Canisius,,,FALSE,Golden Griffins,,,,,,,,,https://www.canisius.edu/sites/default/files/%2A/logo1_2.png,,
Delta St.,,,FALSE,Statesman,,Delta St,Delta State,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/08/Delta_State_Athletics_logo.png,,
Cortland St.,,,FALSE,Red Dragons,,Cortland St,Cortland State,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cortland_Red_Dragons_Logo.svg/220px-Cortland_Red_Dragons_Logo.svg.png,,
Mississippi Delta CC,,,FALSE,Trojans,,,,,,,,,https://nwccrangers.com/images/logos/mississippi%20delta%20logo.png,,
Texas A&M-Commerce,,,FALSE,Lions,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Texas_A%26M%E2%80%93Commerce_Lions_logo.svg/1200px-Texas_A%26M%E2%80%93Commerce_Lions_logo.svg.png,,
Northwood,,,FALSE,Timberwolves,,North (MI),,,,,,,https://www.northwood.edu/photos/athletics/athletics-timberwolves.png,,
Central State (OH),,,FALSE,Marauders,,,,,,,,,https://maraudersports.com/images/assets/navigation-logo.png,,
Pacific,,,FALSE,Tigers,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Pacific_Tigers_logo.svg/1200px-Pacific_Tigers_logo.svg.png,,
St. Mary's (CA),,,FALSE,Gaels,,,,,,,,,https://a2.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F2608.png,,
Wisconsin-Stout,,,FALSE,Blue Devils,,Wisc-Stout,UW-Stout,Wisconsin–Stout,,,,,https://cdn.herosports.com/upload/school/school-logo/uw-stout-logo.png,,
Wisconsin-Stevens Point,,,FALSE,Pointers,,Wisc-Stevens Point,UW-Stevens Point,Wisconsin–Stevens Point,,,,,https://www.gannett-cdn.com/-mm-/d00b036cfcf85c36462a543aa94a87405177d42c/c=0-38-300-263/local/-/media/2017/02/09/StevensPoint/B9326152297Z.1_20170209001414_000_G0SHBTLFM.1-0.png?width=534&height=401&fit=crop,,
DuPage (IL),,,FALSE,Chaparrals,,,,,,,,,https://gochapsgo.com/images/logos/site/site.png,,
Harding,,,FALSE,Bison,,,,,,,,,https://cdn.herosports.com/upload/school/school-logo/harding-logo.png,,
Morris Brown,,,FALSE,Wolverins,,,,,,,,,https://i.pinimg.com/originals/ac/5a/c3/ac5ac386e7e54f8cf1b6813ce323161a.png,,
Geneva,,,FALSE,Golden Tornadoes,,,,,,,,,https://athletics.geneva.edu/images/logos/site/site.png,,
Clarion,,,FALSE,Golden Eagles,,,,,,,,,https://clariongoldeneagles.com/images/logos/site/site.png,,
McGill (Canada),,,FALSE,Redmen,,McGill,,,,,,,https://upload.wikimedia.org/wikipedia/en/2/28/McGill_Redmen_Logo.png,,
Holmes (MS),,,FALSE,Dogs,,,,,,,,,https://www.holmescc.edu/images/news/LogoTrans.png,,
Knoxville,,,FALSE,Bulldogs,,,,,,,,,https://s3-us-west-2.amazonaws.com/sportshub2-uploads-prod/files/sites/1088/2019/03/11143558/logo_favicon-150x150.png,,
Central Florida CC,,,FALSE,Patriots,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/298916/20190203021110_417_backgroundOrig.png,,
Mount San Antonio JC,,,FALSE,Mounties,,,,,,,,,http://cdnak1.psbin.com/logos/rpi/NJCAA0053/wbkb.png,,
Tusculum,,,FALSE,Pioneers,,,,,,,,,https://cdn.prestosports.com/action/cdn/logos/rpi/12830/wsoc.png,,
Clark (GA),,,FALSE,Panthers,,Clark Atlanta,,,,,,,https://2.bp.blogspot.com/-7ojruoBfJXw/VganPCrzF_I/AAAAAAABJFU/mzZrc2gmV0c/s1600/CAU%2BPanthers%2Blogo.gif,,
NE State (OK),,,FALSE,RiverHawks,,Northeastern State,Northeastern St,Northeastern St.,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Northeastern_State_RiverHawks_logo.svg/1200px-Northeastern_State_RiverHawks_logo.svg.png,,
Bentley College,,,FALSE,Falcons,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Bentley_Falcons_logo.svg/1200px-Bentley_Falcons_logo.svg.png,,
Wheaton,,,FALSE,Lyons,,,,,,,,,https://mir-s3-cdn-cf.behance.net/project_modules/disp/e11c935391449.560cdecbe268b.png,,
Wingate,,,FALSE,Bulldogs,,,,,,,,,https://wingatebulldogs.com/images/logos/site/site.png,,
St. Augustine's,,,FALSE,Falcons,,Saint Augustine’s,,,,,,,https://cdn.herosports.com/upload/st-augustine's-logo.png,,
Cal State-Bakersfield,,,FALSE,Roadrunners,,UC-Bakersfield,Cal Sate Bakersfield,,,,,,https://a4.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F2934.png,,
Salisbury,,,FALSE,Seagulls,,,,,,,,,https://neo-cdn.stretchinternet.com/KWopPV/header/salisbury3.png,,
Southern Connecticut St.,,,FALSE,Owls,,S. Connecticut St.,Southern Connecticut St,Southern Connecticut State,,,,,https://www.logolynx.com/images/logolynx/e0/e00fd1537c232bb043c38ff1643c4667.png,,
Stillman,,,FALSE,Tigers,,Stillman Valley,,,,,,,http://www.ssacsports.com/images/school_logos/Stillmanpng.png,,
Nebraska-Kearney,,,FALSE,Lopers,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Nebraska%E2%80%93Kearney_Lopers_logo.svg/1200px-Nebraska%E2%80%93Kearney_Lopers_logo.svg.png,,
Concordia (Canada),,,FALSE,Stingers,,Concordia (QB),,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Logotip_Stingers_de_Concordia.png,,
John Carroll,,,FALSE,Blue Streaks,,,,,,,,,https://jcusports.com/images/logos/site/site.png,,
Manitoba (Canada),,,FALSE,Bisons,,Manitoba,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Manitoba_Bisons_Logo.svg/1200px-Manitoba_Bisons_Logo.svg.png,,
Albion,,,FALSE,Britons,,,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2790.png,,
Catawba,,,FALSE,Indians,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274185/20190117030220_532_mascotOrig.png,,
Boston Univ.,,,FALSE,Terriers,BU,Boston,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Boston_University_Terriers_logo.svg/1200px-Boston_University_Terriers_logo.svg.png,,
Baker,,,FALSE,Wildcats,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/3/3b/Baker_University_Wildcats_logo.png,,
Michigan Tech,,,FALSE,Huskies,,,,,,,,,https://clubs.recservices.iastate.edu/baseball/wp-content/uploads/sites/10/2015/11/Michigan-Tech-logo.png,,
Findlay,,,FALSE,Oilers,,,,,,,,,https://www.findlay.edu/offices/marketing-communication/brand-guidelines/SiteAssets/Pages/Introduction/Level%201%20Athletics.png,,
St. Paul’s (VA),,,FALSE,Tigers,,St. Paul's,,,,,,,https://dumielauxepices.net/sites/default/files/white-tiger-clipart-depauw-822829-6439378.jpg,,
West Chester,,,FALSE,Golden Rams,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/e/e4/WCUGoldenRams.PNG,,
Bloomsburg,,,FALSE,Huskies,,,,,,,,,https://cdn.herosports.com/upload/uploads/2014/05/bloomsburg-logo.png,,
Colorado State-Pueblo,,,FALSE,ThunderWolves,,Colorado St-Pueblo,Colorado St.-Pueblo,CSU-Pueblo,,,,,https://gothunderwolves.com/images/logos/site/site.png,,
Mary Hardin-Baylor,,,FALSE,Crusaders,,,,,,,,,https://cdn.herosports.com/upload/school/school-logo/mary-hardin-baylor-logo.png,,
Fort Scott (KS),,,FALSE,Greyhounds,,,,,,,,,http://cdnak1.psbin.com/logos/rpi/1328njcaa/sball.png,,
William Penn,,,FALSE,Statesman,,,,,,,,,http://d21gd0ap5v1ndt.cloudfront.net/logos/i/2312/250/250.png,,
Concordia-St. Paul (MN),,,FALSE,Golden Bears,,Concordia-St.Paul (MN),Concordia (MN),,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274251/20181010232709_476_mascot300.png,,
Albany State (GA),,,FALSE,Golden Rams,,Albany St (GA),Albany St. (GA),,,,,,https://www.asurams.edu/images/news/GoldenRams.png,,
Fort Hays St.,,,FALSE,Tigers,,Fort Hays St,Fort Hays State,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Fort_Hays_State_Tigers_logo.svg/1200px-Fort_Hays_State_Tigers_logo.svg.png,,
NE Oklahoma A&M,,,FALSE,Golden Norsemen,,Northeast Oklahoma A&M,,,,,,,https://neoathletics.com/images/logos/site/site.png,,
West. Washington,,,FALSE,Vikings,,W Washington,Western Washington,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Western_Washington_Vikings_logo.svg/200px-Western_Washington_Vikings_logo.svg.png,,
Kentucky St.,,,FALSE,Thorobreds,,Kentucky St,Kentucky State,,,,,,https://cdn.herosports.com/upload/images/school-logos/kentucky-state-logo.png,,
Gustavus Adolphus,,,FALSE,Golden Gusties,,,,,,,,,http://livestats.prestosports.com/logos/266.png,,
Minnesota-Morris,,,FALSE,Cougars,,UM-Morris,Minn-Morris,,,,,,https://morriscougars.com/images/logos/site/site.png,,
Whitworth,,,FALSE,Pirates,,,,,,,,,https://cdn.freebiesupply.com/logos/large/2x/whitworth-pirates-logo-png-transparent.png,,
Hartwick,,,FALSE,Hawks,,,,,,,,,https://s3-us-west-2.amazonaws.com/scorestream-team-profile-pictures/274406/20181010232913_703_mascotOrig.png,,
West Liberty,,,FALSE,Hilltoppers,,W. Liberty,W Liberty,,,,,,https://www.mountaineast.tv/assets/images/WLU.png,,
Merrimack,,,FALSE,Warriors,,,,,,,,,https://merrimackathletics.com/images/logos/site/site.png,,
Glenville State,,,FALSE,Pioneers,,,,,,,,,https://www.mountaineast.tv/assets/images/Glenville.png,,
Dixie St.,,,FALSE,Trailblazers,,Dixie State,,,,,,,https://dixiestateathletics.com/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2017/1/13/New_D_Logo.png,,
Hobart & William Smith,,,FALSE,Statesman,,Hobart,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/174.png,,
Kutztown,,,FALSE,Golden Bears,,,,,,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2315.png,,
Humboldt St.,,,FALSE,Lumberjacks,,Humboldt St,Humboldt State,,,,,,http://mediad.publicbroadcasting.net/p/khsu/files/styles/medium/public/201605/circleH_pms349.png,,
Dubuque,,,FALSE,Spartans,,,,,,,,,http://livestats.prestosports.com/logos/192.png,,
Charleston,,,FALSE,Golden Eagles,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/1200px-College_of_Charleston_Cougars_logo.svg.png,,
Malone (OH),,,FALSE,Pioneers,,Malone University (Ohio),,,,,,,http://cdnak1.psbin.com/logos/rpi/30137/wbkb.png,,
Sioux Falls,,,FALSE,Cougars,,,,,,,,,https://usfcougars.com/images/logos/site/site.png,,
